idx,featAbs1,featAbs2,featAbs3,label
86800,71.08,48.279,43.42,1
86825,135.856,114.452,26.472,1
86850,66.983,43.931,42.861,1
86875,122.626,71.84,66.496,1
86900,123.739,50.544,54.2,1
86925,117.862,67.735,50.393,1
86950,97.475,45.748,69.803,1
86975,70.17,62.822,41.292,1
87000,131.953,32.488,46.262,1
87025,156.991,80.344,51.538,1
87050,109.763,77.456,41.82,1
87075,141.75,70.355,69.362,1
87100,116.293,79.185,46.514,1
87125,136.843,63.47,72.261,1
87150,122.45,48.493,42.763,1
87175,139.397,86.599,34.938,1
87200,125.263,59.401,43.699,1
87225,126.585,49.274,31.346,1
87250,55.51,51.381,34.49,1
87275,80.065,33.824,37.563,1
87300,100.846,58.882,60.604,1
87325,117.979,75.087,46.514,1
87350,139.093,51.6,65.918,1
87375,95.561,53.064,45.368,1
87400,162.658,67.838,51.447,1
87425,89.542,76.9,55.018,1
87450,86.248,67.739,65.113,0
87475,76.857,49.904,54.756,0
87500,108.049,59.245,46.167,0
87525,86.76,41.407,38.747,0
87550,165.638,48.739,57.978,0
87575,56.189,39.482,28.026,0
87600,87.572,39.806,61.306,0
87625,105.073,158.069,128.71,0
87650,74.974,196.144,203.662,0
87675,71.198,154.952,305.988,0
87700,36.998,37.798,198.892,0
87725,31.007,37.042,281.282,0
87750,53.081,31.138,277.378,0
87775,37.544,11.431,97.944,0
87800,53.996,7.998,84.749,0
87825,28.118,7.128,149.581,0
87850,22.02,9.923,172.775,0
87875,17.094,5.408,195.696,0
87900,17.461,9.626,230.192,0
87925,14.622,23.473,219.187,0
87950,12.436,11.944,209.209,0
87975,27.851,10.549,168.292,0
88000,25.363,13.724,143.652,0
88025,36.428,18.352,93.972,0
88050,45.984,18.893,75.209,0
88075,36.78,15.361,46.954,0
88100,18.96,10.685,32.928,0
88125,13.434,10.618,18.041,0
88150,13.148,5.714,18.149,0
88175,9.006,5.181,25.384,0
88200,12.018,6.195,23.716,0
88225,16.557,9.882,34.559,0
88250,12.258,8.024,29.63,0
88275,11.416,13.383,27.606,0
88300,16.032,13.05,25.88,0
88325,8.264,22.337,24.576,0
88350,7.978,27.305,24.672,0
88375,8.943,29.224,27.819,0
88400,11.76,23.152,26.806,0
88425,14.752,18.897,28.224,0
88450,17.497,9.407,18.157,0
88475,12.755,9.331,22.112,0
88500,18.104,9.613,15.58,0
88525,14.132,7.814,24.945,0
88550,13.525,11.453,16.466,0
88575,15.605,9.936,18.968,0
88600,16.475,7.824,17.321,0
88625,16.907,6.027,20.43,0
88650,21.446,8.525,19.025,0
88675,11.065,8.484,24.942,0
88700,12.793,7.593,18.862,0
88725,11.495,8.982,29.289,0
88750,14.295,6.374,27.19,0
88775,13.126,9.642,27.101,0
88800,14.92,8.764,17.327,0
88825,14.185,9.01,18.856,0
88850,12.648,9.575,15.981,0
88875,11.845,14.064,18.457,0
88900,10.751,7.599,18.001,0
88925,15.006,9.823,16.14,0
88950,11.39,7.165,17.052,0
88975,15.409,9.003,16.681,1
89000,11.422,7.882,17.069,1
89025,14.657,9.737,16.408,1
89050,15.853,15.263,15.963,1
89075,21.04,17.999,19.137,1
89100,20.491,35.046,32.987,1
89125,254.649,73.584,35.383,1
89150,1128.103,357.876,107.142,1
89175,788.608,212.87,281.313,1
89200,295.44,122.362,337.785,1
89225,351.131,137.56,339.91,1
89250,256.973,126.597,184.203,1
89275,317.486,146.583,112.996,1
89300,274.476,85.253,147.294,1
89325,166.327,44.805,190.085,1
89350,177.351,98.969,163.971,1
89375,118.505,118.891,180.135,1
89400,202.169,116.967,222.707,1
89425,235.603,132.252,141.656,1
89450,209.591,116.98,121.22,1
89475,145.357,75.805,117.502,1
89500,119.742,94.904,95.509,1
89525,250.15,82.45,74.057,1
89550,173.024,65.972,62.215,1
89575,175.038,68.563,87.762,1
89600,223.999,80.242,56.508,1
89625,137.223,48.029,45.309,1
89650,216.775,68.945,82.386,1
89675,183.253,34.207,52.854,1
89700,146.922,59.611,70.782,1
89725,140.924,38.445,63.223,1
89750,185.134,120.943,75.405,1
89775,227.42,73.091,56.817,1
89800,201.177,66.426,63.905,1
89825,143.113,56.326,62.043,1
89850,157.971,60.289,58.684,1
89875,124.292,74.221,33.948,1
89900,188.818,64.732,98.248,1
89925,110.634,45.61,109.785,1
89950,204.96,56.636,75.289,1
89975,103.56,73.726,49.028,1
90000,97.0,68.468,68.673,1
