m1,s1,a1,p1,m2,s2,a2,p2,m3,s3,a3,p3,label
-44.4089,33.3102,46.3534,111.9998,-461.9568,38.7666,461.9568,531.9463,35.8646,50.2165,51.5935,123.3792,0
-24.5773,28.7624,31.6586,74.7111,-497.1209,33.0493,497.1209,553.7617,4.7945,34.1597,29.3673,64.1335,0
-12.4081,28.3123,25.725,71.984,-517.2817,24.3505,517.2817,553.3142,-1.4712,40.2972,31.5366,89.6532,0
-7.7042,27.3657,25.3718,48.4395,-531.3579,27.1021,531.3579,568.3801,-16.0103,25.0128,21.5499,73.0907,0
1.6124,26.4236,22.6608,52.8002,-518.0624,32.2722,518.0624,566.9058,-6.2851,35.0171,29.4074,69.7557,0
7.0712,23.6955,20.4683,48.7793,-496.9712,29.5541,496.9712,555.1978,-31.3522,30.4794,35.0084,96.9347,0
11.0566,22.29,20.6639,47.2102,-463.6655,26.175,463.6655,509.6506,-19.6878,41.9631,36.6568,99.3878,0
3.2339,22.5595,17.5066,60.9087,-447.0891,29.3156,447.0891,495.1816,-38.1211,29.8629,40.3445,85.4976,0
18.7275,27.0953,26.1623,72.6708,-401.3256,24.0454,401.3256,442.0881,-17.7373,48.7947,41.88,103.0254,0
6.7571,27.2742,21.9109,66.9812,-380.1673,25.8754,380.1673,425.9751,-33.9288,32.5382,38.1967,101.5397,0
12.7575,20.4312,20.179,48.6691,-338.2139,27.058,338.2139,389.3198,-26.3546,31.6085,32.8415,90.5396,0
7.2311,23.8669,20.8469,48.7889,-317.138,31.5413,317.138,366.9299,-34.3089,46.9801,49.791,118.363,0
11.9796,21.0851,20.0938,47.2371,-271.8281,27.6624,271.8281,315.8264,-25.0524,39.0821,36.8984,100.264,0
0.1407,29.6539,25.046,54.9814,-246.1604,31.2923,246.1604,290.9309,-45.4291,46.3221,52.8122,135.6393,0
-3.4048,31.6299,27.7101,53.1891,-215.1899,26.1499,215.1899,265.2686,-9.6225,43.5332,37.7827,79.1198,0
-3.5731,23.8741,20.5022,46.2836,-194.789,29.532,194.789,251.5452,-28.7213,48.8608,45.3792,126.9237,0
4.5598,25.3548,18.4609,60.9259,-164.413,29.493,164.413,215.9282,-19.1856,54.016,47.3162,118.7347,0
2.3511,28.2186,23.9847,63.8815,-150.85,24.0593,150.85,198.5132,-18.6241,34.8882,32.8754,82.963,0
13.7998,27.505,24.9117,64.1022,-111.7807,27.6572,111.7807,157.8984,-15.4188,49.5529,44.7574,104.204,1
6.1767,30.006,25.1348,74.3619,-103.2197,25.2456,103.2197,152.8416,-18.9356,36.9605,30.8672,101.0077,1
10.1635,21.0462,18.3666,64.6266,-84.9232,26.3253,84.9232,126.1532,6.0116,46.3949,35.1649,107.943,1
10.9794,22.586,19.7729,55.8563,-74.7224,29.1223,74.7224,114.3986,3.3122,44.2608,36.0374,115.7736,1
31.9673,30.3393,33.7841,86.5742,-60.6843,30.1698,60.6843,109.7723,-10.6175,35.6281,31.2517,76.0885,1
51.0175,114.6968,98.7239,240.6632,-17.1525,111.6133,87.0023,243.9785,-9.1795,77.5365,60.6147,182.4839,1
8.7667,231.1709,194.6451,424.4508,166.1514,221.5394,245.4957,442.1115,-66.8882,167.5912,139.1455,388.1223,1
-106.0973,255.4751,235.6715,488.8113,259.3989,222.8449,273.1038,634.6245,-317.0288,278.1796,336.267,921.4407,1
-149.9802,145.0237,165.1604,501.6646,413.2003,402.8853,456.6867,1190.7408,-32.4418,194.6017,171.2631,363.6346,1
75.7936,320.8651,262.3741,741.4562,1542.5492,272.3068,1542.5492,1808.1218,-88.4074,94.1174,94.6618,299.5739,1
393.1059,195.92,393.1059,772.2489,1424.3353,103.171,1424.3353,1602.6919,-114.1438,109.0872,135.5434,300.0845,1
188.2014,259.2503,234.0591,811.6998,1107.8773,80.2502,1107.8773,1246.6069,-7.2138,147.5928,125.3424,273.0126,1
226.8683,155.0086,231.2873,652.722,861.7302,62.4194,861.7302,969.6367,24.5981,92.6563,83.3531,179.5145,1
111.8631,295.1941,248.1617,649.6587,670.2713,48.5529,670.2713,754.2036,99.6815,170.4416,167.3426,347.3754,1
38.641,175.7904,146.6826,383.7892,521.3508,37.7645,521.3508,586.6353,85.2959,90.8535,104.5961,259.4717,1
-21.3558,184.0386,151.2666,363.4852,405.5168,29.3743,405.5168,456.2964,110.7474,85.0899,117.5912,303.2599,1
-93.2274,208.3419,195.1331,454.1576,315.4186,22.8482,315.4186,354.916,94.2787,101.0488,109.1742,327.2993,1
-216.8094,227.3247,270.4572,513.7983,245.3387,17.7711,245.3387,276.0608,99.4553,128.6302,124.8367,404.5133,1
-160.167,203.5216,207.8204,556.6433,43.1296,275.618,230.9302,714.9988,76.6385,87.778,92.3579,343.0481,1
-248.007,204.3044,269.7409,574.9619,-940.6626,350.4514,940.6626,1301.1257,114.6836,98.4656,124.4316,284.943,1
-125.7868,207.5699,220.6387,455.3853,-1379.1637,306.1037,1379.1637,1842.0103,40.4216,101.6539,88.6889,215.8666,1
-132.5161,201.1265,201.3398,459.1331,-1637.5054,165.2299,1637.5054,1875.0928,81.3934,117.7834,108.1486,272.1783,1
-83.9174,124.5234,117.4479,343.0009,-1711.4904,188.2658,1711.4904,2041.6082,31.3569,107.2411,88.7037,236.6775,1
-18.5105,102.9159,89.302,188.4268,-1716.1837,184.4077,1716.1837,2083.157,13.8677,55.6094,46.4084,107.6848,1
-0.0974,112.2629,92.6494,225.916,-1563.239,196.4358,1563.239,1849.2031,25.2649,100.2633,72.0234,281.6376,1
57.3195,217.1407,173.7905,489.1681,-1349.5363,159.1333,1349.5363,1582.4772,21.4438,68.8757,61.0776,133.6093,1
65.6542,89.9539,96.7811,199.8317,-1118.8263,101.0593,1118.8263,1275.6685,-1.1726,69.6382,55.6127,166.9882,1
51.7329,137.8587,135.1555,247.6963,-849.7278,113.1056,849.7278,995.9623,20.2847,81.1481,66.795,176.9215,1
47.5032,188.9601,172.4504,377.6199,-667.0129,92.0775,667.0129,783.5306,-8.4907,49.1673,40.3709,105.7496,1
42.8211,150.8747,130.869,307.6125,-459.1844,112.2386,459.1844,616.7774,28.3132,53.7124,51.9778,117.4241,1
-60.2181,126.1562,129.2048,268.0968,-283.8434,157.6679,287.691,474.6471,8.2741,54.6212,47.5887,103.4012,1
-63.2489,173.4012,134.3598,423.7959,-94.4782,177.8365,152.4816,425.4373,-16.7254,61.1143,48.5036,128.9258,1
-91.3335,246.4224,209.3188,499.6323,-96.6759,247.2691,226.7841,510.7931,4.597,84.3915,64.1405,176.0665,1
8.3158,129.8948,100.5637,319.677,94.9033,94.4624,112.7133,277.8871,-1.5284,70.6938,59.1624,134.5084,1
32.8856,85.7356,72.9962,229.4247,119.4743,116.723,138.5932,346.7292,-20.8965,64.8415,56.2437,158.5055,1
30.7659,84.3828,66.9639,238.3032,223.4374,155.2466,225.6534,479.3932,-7.6538,57.8961,45.4081,131.521,1
63.4726,156.0142,128.0813,399.4832,297.731,145.2668,297.731,551.5755,-35.1387,70.4815,63.7423,169.4463,1
17.5502,127.2519,104.2002,290.4574,329.9793,131.314,329.9793,559.1598,5.2992,55.4345,47.6893,109.981,1
61.0542,149.8915,136.1075,324.5618,354.4241,119.199,354.4241,621.3226,-44.1364,83.7648,74.6838,185.1962,1
54.3919,103.351,93.3169,254.4689,397.8191,160.0723,397.8191,644.8093,6.5665,71.3091,56.8187,192.0261,1
47.01,265.8059,184.7911,658.3496,368.4421,123.4456,368.4421,652.1402,-22.3133,78.0627,65.1011,235.6459,1
13.6865,136.3038,107.564,398.5421,434.701,101.7409,434.701,592.4891,-3.8499,77.8869,70.4473,129.926,1
-25.9542,106.3567,91.2005,203.9813,341.2328,103.3823,341.2328,501.0569,-3.1166,44.8519,34.9258,107.342,1
18.2598,81.8847,71.7059,162.7228,400.638,122.8336,400.638,573.9165,-12.8755,55.8025,48.8052,106.3594,1
-37.1492,58.9733,58.6982,141.4775,300.7227,138.9828,300.7227,578.9097,-15.9315,52.598,44.4866,127.2716,1
-7.6751,186.0836,135.9851,407.5685,329.7446,186.6832,331.5378,742.3245,-16.9164,77.3916,69.0758,137.8531,1
43.9714,169.4177,145.6042,356.347,268.3969,107.4418,268.3969,515.4304,-19.4481,71.8471,63.9831,125.642,1
-24.4466,208.2288,182.1396,375.0793,233.8339,142.5964,233.8339,518.8101,-3.7717,44.2674,30.3008,108.0029,1
9.1877,102.3235,78.863,260.645,222.8584,85.857,222.8584,345.4305,-44.048,49.6295,57.6678,128.1366,1
-14.9369,154.9242,116.9029,324.0432,357.6534,134.5326,357.6534,558.9446,-12.205,59.3956,46.3477,129.2272,1
14.3015,167.2852,136.9207,335.049,474.7442,153.1557,474.7442,760.6364,-13.3874,74.8476,65.6314,129.9346,0
66.2701,108.935,103.6145,273.8492,469.9602,110.0359,469.9602,693.0349,-16.4933,45.7608,37.1297,137.3016,0
-31.4089,211.8419,178.4863,360.8427,399.763,153.1098,399.763,653.7258,-3.1234,75.539,60.4563,160.8234,0
44.3347,191.6004,166.4354,428.7041,349.7659,156.1382,349.7659,611.2151,4.4976,82.5047,68.5823,176.7888,0
-4.0929,45.7346,38.3059,84.9072,320.1486,136.2401,320.1486,519.4731,15.4868,68.1887,58.4161,138.4265,0
-28.3063,73.9263,65.6824,144.6759,86.4778,253.0722,214.5482,788.4473,-20.5871,62.5652,53.8074,149.4841,0
-81.3937,52.2031,86.3498,149.0406,-1911.1151,166.2973,1911.1151,2163.321,34.4546,101.855,83.1694,255.6394,0
-118.1824,48.6788,119.4399,190.72,-1510.5255,109.4152,1510.5255,1699.6743,103.2438,76.2274,112.5421,228.5162,0
-45.8704,58.6693,57.1701,148.7755,-1174.9192,85.106,1174.9192,1322.0432,173.0143,130.8566,181.3477,371.2507,0
-10.7109,83.6335,70.7061,183.9907,-913.8774,66.1968,913.8774,1028.3137,3.8751,129.9738,112.6082,232.6482,0
-149.9963,35.7043,149.9963,202.473,-710.8335,51.4899,710.8335,799.8445,11.8765,55.9693,45.0797,126.0194,0
-197.2915,74.6438,197.2915,301.2926,-552.9017,40.0498,552.9017,622.1363,-13.0489,52.354,45.2359,96.0492,0
-272.0335,55.7112,272.0335,380.6305,-430.0588,31.1524,430.0588,483.9111,-52.492,46.8388,60.4054,121.9224,0
-232.7787,53.5583,232.7787,323.2589,-129.5158,328.0651,339.5583,539.5074,-33.961,65.104,52.1809,173.0253,0
-30.3814,62.0547,57.1002,149.3075,1036.2708,251.6618,1036.2708,1452.8228,-87.043,49.6977,88.5408,168.3306,0
96.4722,33.8931,96.4722,154.1616,1708.8325,138.4248,1708.8325,1916.2992,-118.8427,49.1162,118.8427,208.7208,0
164.9678,24.2462,164.9678,214.8347,2130.5713,124.8719,2130.5713,2369.2759,-61.131,60.5696,68.1519,157.0198,0
204.9919,16.1649,204.9919,239.108,2199.6833,136.9915,2199.6833,2397.3394,-49.1042,60.4059,68.8511,148.7966,0
241.6273,20.275,241.6273,277.5681,1725.1656,124.9599,1725.1656,1941.1921,-8.7633,28.5478,25.8328,62.3978,0
225.8942,22.3588,225.8942,267.8191,1341.8695,97.1994,1341.8695,1509.8999,12.504,59.52,48.8477,125.8528,0
