m1,s1,a1,p1,m2,s2,a2,p2,m3,s3,a3,p3,label
158.56,151.5,42502.031,471.164,6.713,0.486,45.299,7.554,62.193,61.146,5158.204,135.265,1
150.302,144.976,33646.242,341.234,5.221,0.378,27.398,5.875,48.494,58.933,3473.136,119.592,1
135.23,117.473,30300.043,424.13,4.06,0.294,16.571,4.569,32.264,39.214,1566.58,91.723,1
106.729,90.355,17614.852,257.415,3.157,0.229,10.02,3.553,74.591,85.398,7900.011,189.261,1
95.737,91.623,12574.166,212.894,2.455,0.178,6.058,2.763,82.484,59.982,9055.298,168.127,1
146.541,111.531,30467.963,459.777,1.908,0.139,3.66,2.148,73.983,52.291,6971.335,163.701,1
124.416,89.917,20883.35,280.068,1.483,0.108,2.211,1.669,86.267,76.192,11529.753,237.13,1
144.508,35.231,22123.73,239.35,1.153,0.084,1.335,1.297,88.454,70.411,12781.876,258.245,1
149.525,94.609,31121.895,338.579,0.896,0.065,0.807,1.008,96.068,86.343,15268.589,224.282,1
117.156,41.967,15486.727,224.606,0.696,0.051,0.486,0.783,96.239,49.673,11729.401,179.556,1
146.052,54.763,24330.162,243.897,0.54,0.039,0.293,0.608,87.062,82.501,12042.656,195.866,1
128.043,27.603,17156.957,180.871,0.419,0.031,0.177,0.472,73.766,48.859,7007.239,189.947,1
106.789,54.987,14427.527,263.501,0.325,0.024,0.106,0.366,79.093,74.916,10593.66,244.783,1
123.028,53.031,17948.047,241.39,0.252,0.019,0.064,0.284,61.611,65.032,5331.987,152.8,1
100.513,95.404,15109.571,289.192,0.195,0.014,0.038,0.22,45.528,53.605,3354.789,110.847,1
79.521,67.861,8459.454,199.255,0.151,0.011,0.023,0.17,52.08,57.533,3883.325,146.905,0
72.326,88.187,8074.733,180.345,0.117,0.009,0.014,0.131,66.755,73.003,6239.764,150.951,0
90.044,115.81,14044.026,314.846,0.09,0.007,0.008,0.102,75.943,91.084,8309.882,200.146,0
71.615,82.407,7651.192,198.599,0.069,0.005,0.005,0.078,27.519,34.475,1229.681,74.456,0
89.616,112.386,12673.771,251.3,0.053,0.004,0.003,0.06,61.573,65.225,4813.179,129.494,0
63.878,80.866,7232.273,213.118,0.041,0.004,0.002,0.047,46.289,57.996,3602.404,176.722,0
1135.789,535.262,1576522.125,1747.408,0.031,0.002,0.001,0.034,108.667,127.835,16439.816,266.983,0
1474.155,106.782,2184534.75,1658.75,0.024,0.002,0.001,0.027,131.681,164.411,28929.773,314.877,0
1146.629,83.058,1321656.5,1290.211,1104.684,983.055,2186689.0,2251.875,92.239,94.012,15891.233,297.19,0
819.685,91.532,680261.5,999.593,1693.264,122.486,2882147.25,1890.923,141.744,58.38,23499.607,253.777,0
638.636,117.104,421569.531,798.632,1310.969,97.487,1728142.375,1482.457,215.371,180.164,72148.367,437.915,0
