m1,s1,a1,p1,m2,s2,a2,p2,m3,s3,a3,p3,label
13.378,14.913,288.04,40.023,9.076,10.663,145.391,26.29,28.916,19.018,1105.871,55.278,1
19.109,13.139,524.879,53.479,7.553,9.137,114.976,29.591,38.071,15.067,1676.415,72.526,1
20.118,9.001,485.771,39.643,12.262,12.032,236.141,32.839,33.392,19.537,1496.711,70.742,1
18.732,12.215,467.928,47.141,9.335,11.899,152.852,27.85,22.79,20.001,712.934,66.066,1
21.266,10.754,567.877,47.212,11.89,13.818,191.194,25.298,44.955,21.383,2478.201,82.764,1
37.171,14.892,1603.479,72.452,31.55,32.312,1842.708,81.298,60.753,43.648,5205.361,130.274,1
116.972,144.804,21893.373,278.488,95.137,100.537,12486.894,215.988,69.199,41.092,5684.683,137.474,1
122.593,126.718,22545.07,257.421,199.658,191.33,53149.703,524.002,74.276,79.221,10055.869,229.14,1
193.857,202.527,65945.844,520.279,110.727,126.501,16139.714,288.99,130.32,62.551,20895.855,235.003,1
1046.896,532.202,1379230.75,1954.978,144.653,175.168,33454.727,444.733,153.278,136.477,37416.457,410.817,1
1685.814,122.114,2856879.25,1896.913,225.003,170.841,71957.945,511.334,203.234,136.411,54296.441,430.76,1
1311.261,94.981,1728427.5,1475.459,312.018,134.464,115436.102,566.653,638.957,224.291,458572.688,1041.391,1
1019.926,73.879,1045707.812,1147.643,218.073,147.515,67317.977,432.561,907.405,146.515,844850.875,1202.238,1
793.32,57.465,632658.125,892.66,344.627,159.728,144280.547,645.396,814.23,166.308,690628.625,1130.248,1
617.06,44.697,382761.188,694.329,132.71,148.538,24223.193,268.814,553.785,129.439,323432.125,814.568,1
479.962,34.766,231572.203,540.063,120.009,145.716,21630.582,381.46,267.98,199.934,97435.539,461.858,1
295.626,237.995,109691.477,561.848,112.486,102.394,18592.801,352.494,92.405,111.145,12499.269,216.859,1
781.377,224.465,660934.75,1134.431,200.348,171.219,53406.023,412.306,192.219,138.257,53234.629,475.303,1
1087.784,173.398,1213341.25,1396.776,125.055,78.696,20668.354,269.924,262.99,105.897,80377.914,435.523,1
1237.777,118.162,1546053.5,1486.739,237.063,102.386,66681.844,403.978,341.108,86.556,123846.852,499.918,1
1375.261,130.665,1908417.0,1562.026,221.999,123.794,64608.547,453.11,370.72,70.273,142371.797,542.545,1
1319.577,111.518,1753719.375,1511.386,201.657,124.086,49984.445,322.97,342.985,108.246,129355.602,604.59,1
1191.196,168.204,1447241.125,1390.332,224.303,84.606,57469.949,405.882,277.989,117.179,91008.469,549.06,1
711.543,204.14,547965.812,1186.567,147.468,78.648,27932.453,276.916,253.412,107.331,75737.469,565.349,1
319.368,148.536,124059.141,616.045,209.684,114.946,57180.23,391.999,276.673,79.501,82868.078,450.918,1
151.716,169.483,35431.477,445.799,116.696,106.728,21602.273,369.788,273.477,101.788,85150.328,487.243,1
124.518,136.392,26487.43,437.45,167.396,132.253,36523.25,347.103,288.226,111.702,95551.344,519.43,1
129.154,118.977,23491.187,303.853,131.19,122.074,23373.436,310.289,179.346,103.821,40076.391,286.464,1
212.604,67.177,49713.305,406.638,107.039,110.143,14623.755,195.738,176.054,171.041,40718.578,421.133,1
324.87,98.424,115227.859,462.792,111.865,52.569,15277.349,200.745,71.292,87.51,8204.448,198.72,1
308.889,91.971,103871.383,435.755,163.736,170.1,45765.551,518.428,145.864,148.688,30776.045,375.224,1
349.165,92.774,130522.859,503.45,131.223,113.886,23255.613,241.109,135.092,152.465,23250.695,269.375,1
334.154,62.504,115565.789,428.804,78.888,59.98,9265.287,213.758,141.701,106.922,30014.064,368.869,1
264.102,110.585,81978.852,467.581,72.557,85.068,7314.008,172.089,211.645,148.976,65552.172,482.779,1
241.723,72.119,63630.965,344.983,81.311,78.842,8946.671,213.34,207.324,111.917,55508.48,461.755,1
207.336,61.832,46811.262,312.837,108.111,100.853,16636.262,253.185,200.642,45.951,42368.727,314.197,1
155.02,48.202,26354.553,265.28,111.95,58.29,15801.867,197.405,199.147,97.351,49136.68,436.65,1
151.431,69.694,27788.57,293.929,126.352,61.183,19708.291,231.114,192.3,106.838,48393.926,381.507,1
86.763,88.333,14190.178,271.423,141.617,57.317,23340.518,215.389,147.832,75.917,27617.617,336.836,1
73.375,79.509,7620.527,174.053,135.92,31.058,19438.807,188.244,120.417,92.736,21444.152,296.526,1
94.786,104.465,13821.463,273.833,146.377,63.514,25294.492,264.202,137.822,137.916,26593.293,277.335,1
86.226,77.497,10773.299,222.167,100.691,49.763,12614.954,243.221,92.884,65.744,12492.305,220.738,1
141.667,66.483,24489.535,275.654,117.258,79.649,19842.238,265.893,75.541,62.745,7583.0,157.091,1
180.451,55.754,35670.934,292.623,99.103,57.292,12680.348,196.156,68.753,79.895,7997.041,165.664,1
243.254,109.219,71101.281,423.889,90.801,59.832,11188.355,241.765,83.903,106.012,11283.599,268.118,1
257.557,117.881,80231.5,451.33,98.472,68.225,13014.013,208.739,66.021,71.741,6178.259,163.073,1
260.769,110.537,80219.117,504.195,50.926,43.285,3911.73,132.405,102.324,111.066,14129.638,281.819,1
218.575,50.91,50366.746,301.519,95.077,95.642,12301.23,205.257,101.192,126.382,16366.254,326.521,1
246.405,85.966,68105.453,413.766,69.316,54.519,5640.105,116.849,46.038,37.921,3285.654,130.716,1
161.156,53.885,28874.705,263.823,52.093,62.542,4098.668,139.116,41.141,49.562,2461.952,97.905,1
182.208,60.094,36811.246,292.567,57.24,59.342,4484.341,135.366,47.725,59.889,3687.917,136.801,2
164.658,63.176,31103.439,314.246,72.828,79.657,7492.638,167.559,51.924,63.411,4060.056,137.729,2
145.971,75.205,26963.312,301.789,71.912,84.353,7310.109,197.436,88.261,63.524,9945.929,193.362,2
168.926,60.204,32160.357,256.603,74.503,85.312,8183.564,188.268,114.572,76.202,18095.1,260.537,2
124.62,84.323,20867.734,235.738,31.809,38.953,1517.513,92.615,89.323,46.238,9394.512,162.262,2
174.611,195.643,47426.203,484.005,34.164,36.133,1779.987,85.917,45.245,39.296,3259.951,116.547,2
1274.856,316.581,1725480.5,1559.156,173.976,69.731,35130.172,265.389,104.3,84.631,16474.707,239.142,2
1240.621,89.863,1547215.5,1395.972,249.281,17.439,62444.961,275.732,204.703,48.198,44226.219,276.969,2
964.982,69.899,936075.375,1085.817,406.11,74.033,170406.187,490.21,217.28,77.229,53175.074,389.268,2
750.583,54.369,566331.5,844.572,548.493,84.404,307968.375,649.986,226.529,43.705,53225.375,293.298,2
583.82,42.289,342634.094,656.926,509.94,83.655,267036.875,602.976,235.068,33.142,56355.406,284.152,2
437.49,73.766,196839.078,510.971,220.095,112.048,60996.609,402.136,175.65,36.143,32159.135,249.632,2
542.2,310.423,378247.094,977.272,45.051,54.133,3514.559,138.873,82.666,36.38,7788.58,144.109,2
1203.891,134.536,1467452.5,1385.13,108.18,113.752,24296.805,357.365,56.234,68.119,4659.668,137.406,2
1374.571,31.289,1890425.25,1425.006,404.74,33.775,164954.953,442.415,60.818,53.382,5015.237,145.01,2
1114.527,153.6,1265762.375,1300.013,427.157,38.752,183964.906,510.144,145.66,67.566,25552.859,243.997,2
1012.655,31.043,1026434.0,1073.445,367.639,15.951,135412.641,397.574,154.447,73.14,28848.17,249.179,2
961.362,44.701,926215.75,1028.488,350.484,21.95,123321.078,392.308,146.021,33.045,22414.221,185.053,2
820.552,40.426,674939.625,882.296,275.052,26.925,76378.656,312.527,196.283,23.674,39087.324,248.235,2
695.796,79.183,490402.031,811.43,208.824,30.292,44525.238,267.968,240.348,24.014,58343.676,300.949,2
377.542,127.784,158866.672,582.303,154.995,30.814,24972.953,212.251,271.263,15.576,73826.367,302.321,2
104.344,48.868,13275.648,188.211,112.941,13.505,12938.095,135.246,249.236,17.547,62426.504,288.416,2
34.38,29.743,1414.81,67.981,72.483,20.941,5692.378,123.622,252.256,30.42,64558.5,296.09,2
106.737,28.323,12194.966,154.417,25.691,20.402,902.824,54.746,243.513,17.058,59589.496,278.408,2
146.583,9.61,21578.904,160.766,12.374,15.514,254.966,38.987,221.404,17.078,49311.516,252.739,2
171.405,12.227,29529.33,203.093,15.912,14.297,358.206,40.296,205.699,22.42,42814.656,250.408,2
219.6,14.081,48422.625,239.829,70.596,64.43,5589.851,106.332,179.52,23.251,32768.047,216.444,2
261.367,29.511,69183.844,323.877,55.579,29.512,3959.982,111.669,161.22,16.819,26274.732,192.593,2
385.093,34.912,149515.266,422.115,17.369,20.581,509.146,57.668,138.372,30.676,20087.725,191.064,2
392.534,12.162,154230.641,413.623,39.508,22.461,1946.633,80.858,102.394,23.816,11051.798,137.444,2
348.111,14.732,121398.602,379.795,73.234,15.153,5592.861,102.324,119.204,19.449,14587.856,164.033,2
320.699,12.191,102996.359,339.237,75.349,11.261,5804.281,104.413,109.687,26.167,12716.057,152.514,2
277.039,24.351,77343.773,334.687,76.532,11.952,5999.955,99.213,69.731,18.652,5210.241,110.153,2
220.038,17.568,48725.477,254.328,95.597,19.815,9531.46,124.373,48.939,29.691,3276.617,115.905,2
176.429,19.594,31510.984,207.406,100.16,8.111,10097.773,113.877,23.095,26.031,746.031,47.601,2
141.199,20.922,20374.82,183.743,111.811,20.895,12938.191,150.896,28.217,27.074,1129.686,71.231,2
134.856,11.173,18310.937,153.378,107.25,14.522,11713.534,134.516,18.713,20.895,520.396,53.499,2
136.528,21.88,19118.572,165.56,112.566,15.574,12913.653,137.245,22.613,15.239,722.301,46.357,2
79.569,18.578,6676.411,115.176,109.697,13.165,12206.699,138.389,63.129,15.41,4222.778,98.96,2
51.206,12.957,2789.959,71.904,101.175,10.688,10350.69,120.964,67.756,17.104,4883.38,100.275,2
27.589,11.986,904.813,52.374,86.156,15.159,7652.674,124.838,85.555,29.054,8163.83,142.453,2
17.933,20.152,406.549,40.73,77.17,15.333,6190.377,109.537,96.342,27.493,10037.61,154.254,2
41.354,13.126,1882.471,71.456,68.062,14.852,4852.967,93.753,129.426,21.589,17217.291,169.356,2
40.901,11.87,1813.762,63.62,61.516,15.221,4015.933,105.823,128.505,24.848,17130.969,178.418,2
55.894,14.433,3332.414,75.919,40.737,14.797,1878.483,66.652,184.338,27.796,34753.082,230.148,2
62.233,7.508,3929.328,77.687,40.165,14.255,1816.437,73.192,176.882,23.88,31857.672,221.387,2
52.459,15.478,2991.493,78.411,42.615,20.036,2217.47,85.979,169.885,38.487,30341.982,249.469,2
51.362,19.533,3019.54,88.308,22.052,20.407,804.172,61.387,84.419,40.828,8793.52,159.917,2
116.284,63.734,17584.096,292.333,39.022,34.031,2226.399,104.084,119.003,82.746,20881.648,277.821,2
481.148,205.279,273642.969,861.117,935.745,500.354,1125972.125,1496.856,126.621,87.507,22175.797,270.529,2
850.619,118.778,737660.562,1114.381,1385.743,113.287,1933118.75,1550.452,170.895,139.485,46303.156,536.198,2
962.824,116.186,940529.625,1120.737,1000.628,149.462,1023596.0,1208.64,270.432,189.842,109173.242,665.576,2
647.469,119.559,433510.75,876.509,491.861,181.834,274990.438,811.979,386.353,114.543,162388.844,591.192,2
144.983,180.294,33242.926,391.716,144.547,156.49,26274.318,266.292,424.998,193.313,217992.875,896.01,2
